Region,TaskType,Hour,TaskCount,GPU_Demand,GPU_Hour,AvgDuration
RegionA,RealTimeInference,0,2.0,9.0,38.45,3.95
RegionA,RealTimeInference,1,1.0,2.0,11.066666666666666,5.533333333333333
RegionA,RealTimeInference,2,4.0,17.0,81.58333333333333,4.8125
RegionA,RealTimeInference,3,4.0,23.0,108.48333333333335,4.729166666666666
RegionA,RealTimeInference,4,2.0,11.0,34.11666666666667,3.2083333333333335
RegionA,RealTimeInference,5,3.0,15.0,54.81666666666666,2.9055555555555554
RegionA,RealTimeInference,6,2.0,7.0,8.25,1.1666666666666665
RegionA,RealTimeInference,7,1.0,6.0,34.6,5.766666666666667
RegionA,RealTimeInference,8,2.0,6.0,22.833333333333336,3.375
RegionA,RealTimeInference,9,0.0,0.0,0.0,0.0
RegionA,RealTimeInference,10,1.0,5.0,13.5,2.7
RegionA,RealTimeInference,11,2.0,13.0,43.8,3.2666666666666666
RegionA,RealTimeInference,12,2.0,6.0,21.766666666666666,3.5
RegionA,RealTimeInference,13,2.0,7.0,24.383333333333333,3.8583333333333334
RegionA,RealTimeInference,14,4.0,17.0,13.98333333333333,1.2333333333333332
RegionA,RealTimeInference,15,3.0,13.0,49.9,4.011111111111111
RegionA,RealTimeInference,16,2.0,9.0,33.1,3.3083333333333336
RegionA,RealTimeInference,17,2.0,9.0,16.650000000000002,3.475
RegionA,RealTimeInference,18,2.0,12.0,33.65,2.6916666666666664
RegionA,RealTimeInference,19,4.0,7.0,26.216666666666665,2.6416666666666666
RegionA,RealTimeInference,20,1.0,2.0,4.033333333333333,2.0166666666666666
RegionA,RealTimeInference,21,4.0,15.0,57.7,3.529166666666667
RegionA,RealTimeInference,22,3.0,20.0,30.083333333333336,1.5055555555555555
RegionA,RealTimeInference,23,4.0,17.0,45.8,2.625
RegionA,RealTimeInference,24,2.0,6.0,31.4,5.233333333333333
RegionA,RealTimeInference,25,3.0,4.0,21.083333333333332,5.1
RegionA,RealTimeInference,26,2.0,14.0,80.5,5.75
RegionA,RealTimeInference,27,2.0,12.0,34.166666666666664,2.783333333333333
RegionA,RealTimeInference,28,4.0,19.0,60.233333333333334,3.05
RegionA,RealTimeInference,29,2.0,7.0,13.833333333333334,1.5
RegionA,RealTimeInference,30,2.0,9.0,43.0,4.358333333333333
RegionA,RealTimeInference,31,3.0,18.0,93.91666666666667,5.072222222222222
RegionA,RealTimeInference,32,0.0,0.0,0.0,0.0
RegionA,RealTimeInference,33,2.0,2.0,9.083333333333332,4.541666666666666
RegionA,RealTimeInference,34,5.0,15.0,47.28333333333333,3.0633333333333335
RegionA,RealTimeInference,35,1.0,4.0,20.6,5.15
RegionA,RealTimeInference,36,2.0,10.0,36.55,3.825
RegionA,RealTimeInference,37,1.0,3.0,13.75,4.583333333333333
RegionA,RealTimeInference,38,1.0,1.0,0.8333333333333334,0.8333333333333334
RegionA,RealTimeInference,39,5.0,20.0,52.95,2.7600000000000002
RegionA,RealTimeInference,40,4.0,16.0,69.05,3.8541666666666665
RegionA,RealTimeInference,41,2.0,11.0,29.666666666666668,2.6166666666666667
RegionA,RealTimeInference,42,6.0,28.0,80.15,2.5083333333333333
RegionA,RealTimeInference,43,3.0,8.0,37.71666666666667,4.011111111111111
RegionA,RealTimeInference,44,1.0,1.0,3.3,3.3
RegionA,RealTimeInference,45,1.0,7.0,32.43333333333334,4.633333333333334
RegionA,RealTimeInference,46,0.0,0.0,0.0,0.0
RegionA,RealTimeInference,47,2.0,11.0,40.983333333333334,3.3666666666666667
RegionA,RealTimeInference,48,3.0,4.0,21.3,5.1000000000000005
RegionA,RealTimeInference,49,1.0,5.0,30.166666666666664,6.033333333333333
RegionA,RealTimeInference,50,0.0,0.0,0.0,0.0
RegionA,RealTimeInference,51,3.0,12.0,46.099999999999994,3.6666666666666665
RegionA,RealTimeInference,52,4.0,13.0,44.96666666666667,3.345833333333333
RegionA,RealTimeInference,53,4.0,10.0,43.21666666666667,3.1291666666666664
RegionA,RealTimeInference,54,1.0,6.0,28.3,4.716666666666667
RegionA,RealTimeInference,55,1.0,5.0,21.25,4.25
RegionA,RealTimeInference,56,3.0,11.0,23.633333333333333,2.022222222222222
RegionA,RealTimeInference,57,1.0,7.0,3.8500000000000005,0.55
RegionA,RealTimeInference,58,1.0,5.0,6.5,1.3
RegionA,RealTimeInference,59,0.0,0.0,0.0,0.0
RegionA,RealTimeInference,60,2.0,8.0,9.233333333333334,1.2833333333333334
RegionA,RealTimeInference,61,5.0,23.0,72.75,2.9166666666666665
RegionA,RealTimeInference,62,2.0,10.0,20.1,2.9833333333333334
RegionA,RealTimeInference,63,2.0,6.0,25.866666666666667,3.7583333333333337
RegionA,RealTimeInference,64,2.0,2.0,3.9833333333333334,1.9916666666666667
RegionA,RealTimeInference,65,0.0,0.0,0.0,0.0
RegionA,RealTimeInference,66,1.0,1.0,3.0833333333333335,3.0833333333333335
RegionA,RealTimeInference,67,5.0,23.0,92.01666666666665,4.3966666666666665
RegionA,RealTimeInference,68,1.0,5.0,31.166666666666668,6.233333333333333
RegionA,RealTimeInference,69,0.0,0.0,0.0,0.0
RegionA,RealTimeInference,70,1.0,5.0,32.083333333333336,6.416666666666667
RegionA,RealTimeInference,71,1.0,4.0,6.6,1.65
RegionA,RealTimeInference,72,1.0,5.0,12.5,2.5
RegionA,RealTimeInference,73,3.0,14.0,33.33333333333333,2.6777777777777776
RegionA,RealTimeInference,74,1.0,6.0,18.1,3.0166666666666666
RegionA,RealTimeInference,75,1.0,7.0,34.300000000000004,4.9
RegionA,RealTimeInference,76,1.0,3.0,8.5,2.8333333333333335
RegionA,RealTimeInference,77,7.0,19.0,70.15,4.0095238095238095
RegionA,RealTimeInference,78,3.0,15.0,52.516666666666666,3.3944444444444444
RegionA,RealTimeInference,79,2.0,8.0,43.56666666666666,5.066666666666666
RegionA,RealTimeInference,80,0.0,0.0,0.0,0.0
RegionA,RealTimeInference,81,2.0,8.0,41.03333333333333,5.233333333333333
RegionA,RealTimeInference,82,1.0,5.0,22.333333333333336,4.466666666666667
RegionA,RealTimeInference,83,1.0,3.0,16.35,5.45
RegionA,RealTimeInference,84,3.0,8.0,20.0,2.8111111111111113
RegionA,RealTimeInference,85,1.0,4.0,1.6666666666666667,0.4166666666666667
RegionA,RealTimeInference,86,5.0,18.0,64.98333333333333,4.433333333333334
